min_y,min_x,max_y,max_x
2320,4073,2349,4102
5837,11883,5866,11912
4583,15792,4612,15821
11811,14277,11840,14306
547,4563,576,4592
3699,10381,3728,10410
10876,8968,10905,8997
6988,322,7017,351
12372,2,12401,31
12070,7974,12099,8003
3437,12570,3466,12599
1448,3316,1477,3345
6109,3588,6138,3617
9676,6030,9705,6059
714,9008,743,9037
9431,5724,9460,5753
13615,10460,13644,10489
7664,7960,7693,7989
7895,12695,7924,12724
15898,15423,15927,15452
201,1591,230,1620
3659,14189,3688,14217
382,4377,411,4406
9695,7155,9724,7184
2391,14473,2420,14502
635,5814,664,5843
4192,14037,4221,14066
2557,11408,2586,11437
9621,455,9650,484
14452,3337,14481,3366
2926,5864,2955,5893
2918,5078,2947,5107
14133,4683,14162,4712
9789,8527,9818,8556
12839,6755,12868,6784
558,7047,587,7076
14430,14663,14459,14692
12650,15640,12679,15669
6237,2305,6266,2334
1737,3552,1766,3581
118,9331,147,9360
9002,8393,9031,8422
1988,13047,2017,13076
13362,14321,13391,14350
14666,3597,14695,3626
475,3903,504,3932
15262,12988,15291,13017
722,10514,751,10543
10068,1341,10097,1370
1620,15822,1649,15851
12155,2079,12184,2108
14056,9841,14085,9870
4093,14255,4122,14284
6050,2437,6075,2466
4403,9879,4432,9908
5966,1273,5995,1302
10056,12798,10085,12827
13815,1144,13844,1173
4981,10926,5010,10955
4261,11481,4290,11510
10939,7499,10968,7528
2203,3030,2232,3059
9852,8512,9881,8541
4728,8283,4757,8312
610,3242,639,3271
10108,4893,10137,4922
2448,15328,2477,15357
6930,1228,6959,1257
9866,2533,9895,2562
10564,16175,10593,16204
13551,11973,13580,12002
8135,13677,8164,13706
7055,7443,7084,7472
2321,16232,2350,16261
3630,12101,3659,12130
8908,15322,8937,15351
11443,4501,11472,4530
5647,4542,5676,4571
7635,13832,7664,13861
12028,1087,12057,1116
9249,254,9278,283
3501,6858,3530,6887
9561,9403,9590,9432
15558,16089,15587,16118
7784,13062,7813,13091
3492,9314,3521,9343
7367,15479,7396,15508
9862,8781,9891,8810
3922,10465,3951,10494
2715,12531,2744,12560
1335,9188,1364,9217
14952,1895,14981,1924
13158,6797,13187,6826
4545,8748,4574,8777
13212,8036,13241,8065
6941,13234,6970,13263
